destination_id,destination_name,state_ut,region,category,famous_for,nearby_cities,local_language,pin_code,nearest_airport,avg_monthly_visitors,peak_season,off_season,visitor_growth_rate_pct,avg_length_of_stay_days,booking_rate_pct,domestic_visitors_pct,international_visitors_pct,repeat_visitors_pct,entry_fee_inr,safety_rating_1_5,travel_difficulty,accessibility_by_road,accessibility_by_rail,emergency_services_available,hotel_count,avg_hotel_cost_inr,restaurant_count,public_transport_available,internet_connectivity_1_5,avg_temperature_c,rainfall_mm,pollution_index_1_10,cleanliness_rating_1_10,eco_tourism_score_1_10,popular_festival,top_local_cuisine,cultural_heritage_index_1_100,adventure_activities,recommended_stay_days,tourism_development_fund_inr,tour_guide_availability,women_traveler_safety_1_5,child_friendliness_1_5,nightlife_availability,instagram_popularity_1_100,sustainability_rating_1_5,smart_tourism_features,local_crafts_shopping,most_visited_month
DST1000,Place_0,Assam,Northeast,Beach,Culture,Pune,Hindi,660811,Goa International Airport,10453,Summer,Monsoon,1.68,14,81.34,75.11,31.45,11.35,76,4,Difficult,false,true,false,68,1104,107,true,2,37.6,657.6,4,9,9,Lohri,Rogan Josh,37,true,7,38455309,false,3,2,true,67,5,false,false,August
DST1001,Place_1,Rajasthan,West,Urban,Wildlife,Goa,Tamil,987582,Pune Airport,16904,Monsoon,Summer,13.64,9,48.22,66.19,7.65,20.98,247,5,Moderate,false,true,true,95,4753,105,true,5,22.1,1597.3,8,2,3,Durga Puja,Chole Bhature,96,false,2,20837295,true,5,3,false,66,1,false,true,August
DST1002,Place_2,Goa,South,Heritage,Wildlife,Guwahati,Marathi,483094,Chaudhary Charan Singh International Airport,16396,Winter,Monsoon,7.76,8,40.04,76.56,10.38,31.77,194,1,Difficult,false,false,true,13,6042,98,true,5,12.9,332.3,7,1,10,Onam,Dosa,89,true,6,29608072,false,5,1,true,57,1,false,false,October
DST1003,Place_3,Assam,Central,Wildlife,Scenery,Bhopal,Malayalam,266804,Jaipur International Airport,29370,Winter,Winter,4.93,2,87.62,75.28,7.86,13.97,475,5,Easy,false,false,true,45,5035,68,true,1,30.8,1935.3,9,2,7,Pongal,Momos,96,false,5,16127361,true,5,4,false,50,1,false,true,October
DST1004,Place_4,Tamil Nadu,West,Wildlife,Culture,Lucknow,Hindi,665934,Chhatrapati Shivaji Maharaj International Airport,22933,Monsoon,Monsoon,11.03,5,59.58,78.1,16.16,45.79,67,3,Easy,true,false,false,54,6204,70,false,5,37.2,135.3,5,7,3,Diwali,Rogan Josh,46,false,9,32583972,true,3,1,false,77,1,true,true,October
DST1005,Place_5,Goa,Northeast,Beach,Temples,Kolkata,Marathi,776381,Rajiv Gandhi International Airport,31349,Winter,Winter,13.4,8,87.87,88.28,20.25,37.61,337,4,Moderate,false,false,true,14,2847,159,true,1,39.4,2429,5,5,4,Eid,Biryani,32,false,7,13482961,false,2,4,true,43,5,false,false,December
DST1006,Place_6,Goa,Central,Hill Station,Temples,Mumbai,Marathi,324310,Rajiv Gandhi International Airport,5334,Monsoon,Summer,1,10,53.9,82.95,22.65,31.72,55,3,Easy,true,true,false,78,3572,36,false,3,34.4,2683,5,5,8,Durga Puja,Rogan Josh,24,true,3,15433194,false,2,5,true,43,5,true,true,August
DST1007,Place_7,Assam,East,Heritage,Wildlife,Lucknow,Marathi,342024,Kempegowda International Airport,32460,Winter,Winter,10.63,3,43.17,66.48,34.8,35.94,98,4,Difficult,false,true,false,86,7965,121,true,4,18,2989,9,10,1,Bihu,Vada Pav,22,true,3,45211624,true,5,4,true,11,2,true,true,August
DST1008,Place_8,Kerala,Northeast,Wildlife,Wildlife,Chennai,Hindi,357476,Sardar Vallabhbhai Patel International Airport,28268,Summer,Summer,11.74,6,78.63,85.71,5.63,42.79,269,5,Moderate,false,false,false,58,1983,99,true,1,20.7,1097.9,2,4,4,Durga Puja,Pav Bhaji,23,true,5,38292424,false,2,3,true,10,3,false,true,October
DST1009,Place_9,Tamil Nadu,South,Beach,Food,Ahmedabad,Malayalam,939208,Chhatrapati Shivaji Maharaj International Airport,23068,Monsoon,Summer,3.94,10,81.79,80.72,19.99,59.74,399,1,Difficult,true,false,true,14,7434,24,false,1,14.1,1729.6,7,1,4,Pongal,Vada Pav,95,false,8,26437291,false,5,3,false,96,5,false,false,January
DST1010,Place_10,Assam,West,Urban,Wildlife,Indore,Marathi,381260,Jaipur International Airport,29247,Monsoon,Monsoon,7.85,10,64.6,80.24,19.38,48.76,75,4,Easy,true,false,true,11,7482,173,true,2,31.4,2602.6,10,8,3,Onam,Sarson da Saag,18,true,8,39341058,true,2,3,true,46,5,true,false,October
DST1011,Place_11,Tamil Nadu,East,Wildlife,Food,Guwahati,Hindi,212858,Lokpriya Gopinath Bordoloi International Airport,24134,Monsoon,Summer,2.25,7,43.69,83.74,38.16,37.02,330,3,Moderate,true,true,false,36,5629,118,true,3,15.1,1440.2,3,1,2,Holi,Vada Pav,17,false,5,12787284,true,4,3,false,92,3,true,false,August
